Date,Time,Room,Temperature (°C),Humidity (%),Light (lux),Motion
23/2/2026,07:44:01,Bedroom,26.9,82.2,6.25,Not Detected
23/2/2026,07:42:57,Living Room,27,82.3,10.01,Not Detected
23/2/2026,07:42:56,Bedroom,26.9,82.2,6.3,Not Detected
23/2/2026,07:42:02,Living Room,27,82.3,10.11,Not Detected
23/2/2026,07:42:00,Bedroom,26.8,82.2,6.35,Not Detected
23/2/2026,07:40:01,Living Room,27,82.3,9.96,Not Detected
23/2/2026,07:39:59,Bedroom,26.9,82.2,6.18,Not Detected
23/2/2026,07:38:56,Living Room,27,82.3,10.09,Not Detected
23/2/2026,07:38:54,Bedroom,26.9,82.2,6.2,Not Detected
23/2/2026,07:38:00,Living Room,27,82.3,10.01,Not Detected
23/2/2026,07:37:59,Bedroom,26.9,82.2,6.37,Not Detected
23/2/2026,07:36:55,Living Room,27,82.3,10.16,Not Detected
23/2/2026,07:36:54,Bedroom,26.9,82.2,6.28,Not Detected
23/2/2026,07:36:00,Living Room,27,82.3,10.01,Not Detected
23/2/2026,07:35:58,Bedroom,26.9,82.3,6.25,Not Detected
23/2/2026,07:35:04,Living Room,27,82.3,9.82,Not Detected
23/2/2026,07:35:03,Bedroom,26.9,82.2,6.4,Not Detected
23/2/2026,07:34:00,Living Room,27,82.3,9.96,Not Detected
23/2/2026,07:33:58,Bedroom,26.9,82.3,6.47,Not Detected
23/2/2026,07:32:55,Living Room,27,82.3,10.09,Not Detected
23/2/2026,07:32:54,Bedroom,26.9,82.3,6.35,Not Detected
23/2/2026,07:32:00,Living Room,27,82.4,10.06,Not Detected
23/2/2026,07:31:58,Bedroom,26.9,82.2,6.08,Not Detected
23/2/2026,07:30:55,Living Room,27,82.4,10.06,Not Detected
23/2/2026,07:30:53,Bedroom,26.9,82.3,6.28,Not Detected
23/2/2026,07:28:54,Living Room,27,82.4,10.01,Not Detected
23/2/2026,07:28:53,Bedroom,26.9,82.3,6.32,Not Detected
23/2/2026,07:27:59,Living Room,27,82.4,9.82,Not Detected
23/2/2026,07:27:58,Bedroom,26.9,82.3,6.35,Not Detected
23/2/2026,07:26:54,Living Room,27,82.4,9.99,Not Detected
23/2/2026,07:26:53,Bedroom,26.8,82.3,6.37,Not Detected
23/2/2026,07:25:57,Living Room,27,82.4,10.09,Not Detected
23/2/2026,07:25:56,Bedroom,26.9,82.3,6.2,Not Detected
23/2/2026,07:25:03,Living Room,27,82.4,10.13,Not Detected
23/2/2026,07:25:01,Bedroom,26.8,82.3,6.25,Not Detected
23/2/2026,07:23:02,Bedroom,26.9,82.4,6.3,Not Detected
23/2/2026,07:22:54,Living Room,27,82.4,9.96,Not Detected
23/2/2026,07:21:59,Living Room,27,82.4,9.89,Not Detected
23/2/2026,07:21:57,Bedroom,26.9,82.3,6.25,Not Detected
23/2/2026,07:21:00,Living Room,27,82.5,9.91,Not Detected
23/2/2026,07:20:59,Bedroom,26.9,82.3,6.28,Not Detected
23/2/2026,07:20:05,Living Room,27,82.4,10.06,Not Detected
23/2/2026,07:20:03,Bedroom,26.9,82.3,6.23,Not Detected
23/2/2026,07:19:00,Living Room,27.1,82.5,10.13,Not Detected
23/2/2026,07:18:59,Bedroom,26.9,82.4,6.35,Not Detected
23/2/2026,07:17:54,Living Room,27.1,82.5,10.09,Not Detected
23/2/2026,07:17:53,Bedroom,26.9,82.3,6.35,Not Detected
23/2/2026,07:16:59,Living Room,27.1,82.4,10.01,Not Detected
23/2/2026,07:16:58,Bedroom,26.9,82.3,5.96,Not Detected
23/2/2026,07:16:03,Bedroom,26.9,82.3,6.25,Not Detected
23/2/2026,07:15:55,Living Room,27,82.4,9.74,Not Detected
23/2/2026,07:14:59,Living Room,27,82.4,9.96,Not Detected
23/2/2026,07:14:58,Bedroom,26.9,82.3,6.18,Not Detected
23/2/2026,07:13:55,Living Room,27,82.4,10.06,Not Detected
23/2/2026,07:13:54,Bedroom,26.9,82.4,6.35,Not Detected
23/2/2026,07:13:00,Living Room,27.1,82.5,9.84,Not Detected
23/2/2026,07:12:59,Bedroom,26.9,82.4,6.23,Not Detected
23/2/2026,07:12:03,Bedroom,26.9,82.4,6.3,Not Detected
23/2/2026,07:11:55,Living Room,27,82.4,9.99,Not Detected
23/2/2026,07:11:00,Living Room,27,82.5,9.87,Not Detected
23/2/2026,07:10:58,Bedroom,26.9,82.4,6.54,Not Detected
23/2/2026,07:10:04,Living Room,27.1,82.5,9.87,Not Detected
23/2/2026,07:10:03,Bedroom,26.9,82.4,6.06,Not Detected
23/2/2026,07:08:59,Living Room,27,82.5,10.01,Not Detected
23/2/2026,07:08:58,Bedroom,26.9,82.4,6.15,Not Detected
23/2/2026,07:08:03,Bedroom,26.9,82.4,6.25,Not Detected
23/2/2026,07:07:55,Living Room,27,82.5,9.74,Not Detected
